<1>	(0.000-6.550)	<misc> watazamaji katika kipindi cha leo tutazungumzia nini ?	dear viewers what shall we talk about in today's program ?
<2>	(6.550-7.390)	naam .	yes .
<3>	(7.390-13.390)	bila shaka katika maisha yetu tumekabiliwa na changamoto za namna mbalimbali .	without a doubt in our lives we have faced different kinds of challenges .
<4>	(13.390-25.600)	lakini kikubwa tunazungumzia kipato ambacho kupitia hicho <breath> wewe pamoja na familia yako ndugu na jamaa zako <breath> mnaweza mkaendesha maisha yenu .	but largely we are talking about income through which you and your family your brothers and relatives can manage your lives .
<5>	(25.600-34.600)	kumekuwa na malalamiko mengi sana kutoka kwa wanajamii na kanda mbalimbali za watu <breath> wengi wakilalamika kwamba kipato hakitoshi .	there have been a lot of complaints from communities and many people from various zones that the income is not enough .
<6>	(34.600-39.220)	wengine wanapata mishahara mikubwa <breath> wengine wanapata mishahara midogo .	some earn bigger salaries some earn small salaries .
<7>	(39.220-54.650)	lakini hata hivyo <breath> ukitoa matumizi mbalimbali nyumbani kama ya chakula pamoja na mahitaji mengine ya familia watoto kwenda shule matibabu na mambo kadhaa wa kadhaa <breath> wengi wanaishia kukopa na wakati mwingine <breath> kuona maisha ni magumu .	but however if you deduct several domestic expenditure such as food and other family needs children going to school and medication and several things most end up borrowing and at thus at times see life to be hard .
<8>	(54.650-60.746)	wanakata tamaa <breath> nakuona kwamba maisha haya <breath> ni ya mahangaiko na mateso .	they give up and see that this life is a struggle and torture .
<9>	(60.746-69.480)	je inawezekana leo hii ukabadili kipato chako ukawa na kipato ambacho kinakutosha <breath> ukaelekea katika hali ya utajiri ?	is it possible today to change your income to have enough income to transform into a state of richness ?
<10>	(69.480-73.061)	ukaelekea katika hali ambayo inaweza ikaridhisha maisha yako ?	to go towards a state which can satisfy your life ?
<11>	(73.061-74.080)	<no-speech>	<no-speech>
<12>	(74.080-104.440)	kama sivyo basi kwa furaha na taadhima na hekima kubwa <breath> ninayo furaha leo hii <breath> katika studio kumwalika bwana Paul Masatu <breath> moja kati ya wajasiriamali vijana aliyefanikiwa sana katika maisha kuzungumza pamoja nasi na kutueleza <breath> namna gani mimi nawe we na yeye na yule tunaweza tukaongeza vipato katika maisha yetu <breath> hivyo kuyamudu vyema maisha yetu na kufanikiwa katika mambo mbalimbali .	if not so then in joy and honor and great wisdom I am so happy today in this studio to invite mister Paul Masatu one of the young entrepreneurs who is so successful in his life to speak with us and tell us how you and I and the other one can increase income in our lives and therefore sustain our lives and be successful in various things .
<13>	(104.440-105.806)	karibu sana bwana Paul .	welcome Mister Paul .
