<1>	Kizimbani akidaiwa mchochezi kwenye Facebook	in custody alleged to be an inciter on Facebook
<2>	Imeandikwa na John Nditi, Morogoro	written by John Nditi, Morogoro
<3>	Imechapishwa: 13 Septemba 2016	published: 13 September, 2016
<4>	POLISI mkoani Morogoro inamshikilia mkazi wa kata ya Vigoi wilayani Ulanga mkoani humo, Ignasia Mzenga, kwa tuhuma za kuandika taarifa za uchochezi na kuzisambaza kwenye kundi la mtandao wa ‘Facebook’ na simu za kiganjani.	police in the Morogoro province are holding a resident of the Vigoi ward, Ulanga district in the province, Ignasia Mzenga, on allegations of writing insulting news items and spreading them on Facebook and mobile phones.
<5>	Kamanda wa Polisi mkoani humu, Ulrich Matei, amesema leo mjini Morogoro kuwa mtuhumiwa huyo aliandika taarifa hizo Agosti 27, mwaka huu kwa kutumia simu yake na kusambaza taarifa hizo kwenye kundi la mtandao wa Facebook.	the commander of the police in this province, Ulrich Matei, said today in Morogoro, that the suspect wrote the news on August 27th this year using his phone, and spread the news in an online group.
<6>	Kwa mujibu wa Kamanda Matei, mtuhumiwa huyo aliandika ujumbe uliosomeka kuwa	according to Commander Matei, the suspect wrote a message that read
<7>	‘Wanafanya mazoezi kwa ajili ya Ukuta, Polisi baadhi yao ni wema na wengine mjinga mijinga ife tu,’ maneno ambayo ni ya uchochezi dhidi ya jeshi hilo na wananchi.	'they are exercising for a wall, some police are good and others are fools, the fools should just die', words that are insulting towards the army and citizens.
<8>	Alisema mtuhumiwa huyo tayari ameshafikishwa mahakamani na kusomewa mashitaka.	he said the suspect had already been arraigned in court and the charges read to him.
<9>	Kamanda Matei amewaonya wananchi kuacha kuandika taarifa za uchochezi katika mitandao ya kijamii kwani wanakamatwa na kufikishwa katika vyombo vya sheria.	Commander Matei warned citizens to cease writing inflammatory messages on social media because they will be arrested and brought to the law enforcement agencies.
<10>	Pia amewatahadharisha wananchi kuwa makini na baadhi ya watu wanaofanya utapeli kwa kutumia majina ya viongozi wakuu waliopo mkoani humu, ili kujipatia fedha.	he also warned citizens to be careful with people conducting fraud using the names of senior leaders in the province in order to steal money for themselves.
<11>	Alisema wapo baadhi ya raia wasio wema, wanaotumia simu zao za mkononi kujitambulisha kwa baadhi ya wananchi kuwa wao ni viongozi na kutaka kutumiwa fedha kwa njia mtandao ya simu.	he said there are some citizens who are not good and use their mobile phones to introduce themselves to people as leaders, needing to be sent money via the phone network.
<12>	Alisema wameanza kufanya uchunguzi wa kuwabaini watu hao kwa kuzifuatilia namba zao za simu.	he said they have started conducting investigations to find these people, by tracking their phone numbers.
<13>	Aidha, aliwataka wananchi kutoa taarifa hizo pale wanapopigiwa simu na watu hao.	additionally, he wanted citizens to give such information when called by these people.
<14>	Pamoja na hayo, alisema Polisi mkoani Morogoro kwa kushirikiana na wenzao wa mikoa mingine inaendelea na msako wa watu wanaojihusisha na wizi wa magari.	along with that, he said the police in the Morogoro province, in conjunction with their colleagues from other provinces, are continuing to search for people involved in car theft.
<15>	Alisema tayari watu wawili walishakamatwa jijini Dar es Salaam kwa tuhuma za kuhusika katika matukio hayo.	he said already two people had been arrested in Dar es Salaam city on allegations of involvement in these kinds of incidents.
