<1>	Malacañang itinangging konektado sa kanila ang naarestong si Lt. Col. Marcelino	Malacañang denied they were connected to the arrested Lieutenant Colonel Marcelino
<2>	January 22, 2016	January 22, 2016
<3>	Itinanggi ng isang opisyal sa Malacañang na konektado sa kanila ang naarestong si Lt. Col. Ferdinand Marcelino.	an official of Malacañang denied they were connected to the arrested Lieutenant Colonel Ferdinand Marcelino.
<4>	Ginawa ng Palasyo ang pahayag sa gitna ng mga balitang konektado si Marcelino sa tanggapang pinamumunuan ni Exec. Sec. Paquito Ochoa.	the Palace made the announcement in the midst of news that Marcelino is connected to the office led by Executive Secretary Paquito Ochoa.
<5>	Ayon kay Presidential Anti-Organized Crime Commission (PAOCC) Exec. Dir. Reginald Villasanta, walang on going operation ang kanilang tanggapan na kasama si Marcelino.	according to Presidential Anti-Organized Crime Commission (PAOCC) executive director Reginald Villasanta, their office has no ongoing operation together with Marcelino.
<6>	Giit pa ni Villasanta, kahit kailan ay hindi naging operatiba ng kanilang tanggapan ang nadakip na opisyal ng Philippine Marines.	Villasanta even insisted, the apprehended official of the Philippine Marines has never been an operative of their office.
<7>	Ang impormasyon ay nagsimula makaraang sabihin ni dating PDEA director general Dionisio Santiago na direktang nagre-report si Marcelino kay Ochoa.	the information started after PDEA director general Dionisio Santiago said that Marcelino directly reports to Ochoa.
<8>	May mga pagkakataon din umanong si Marcelino mismo ang nagbibigay ng briefing ng kanyang operasyon kay Pangulong Benigno Aquino III.	supposedly there were instances too when Marcelino himself gave briefings of his operations to President Benigno Aquino III.
<9>	Sa kabila nito sinabi ni Santiago na hindi niya alam kung hanggang ngayon ay konektado pa si Marcelino sa tanggapan ni Ochoa.	despite this Santiago said that up to now he does not know if Marcelino is still connected to the office of Ochoa.
<10>	Si Marcelino ay nadakip kahapon sa loob ng isang cladestine shabu den ng mga tauhan ng Philippine Drug Enforcement Agency (PDEA) at Philippine National Police (PNP) sa Sta. Cruz, Maynila.	Marcelino was apprehended yesterday inside a clandestine shabu den by the members of the Philippine Drug Enforcement Agency (PDEA) and Philippine National Police (PNP) in Sta. Cruz, Manila.
<11>	Una nang sinabi ni Marcelino na naroon siya sa lugar kung saan nag-operate ang PDEA para mangalap ng impormasyon.	Marcelino earlier said that he was in the area where the PDEA operated to gather information.
<12>	Aniya, kaya umano niyang patunayan na lehitimo ang kanyang misyon sa lugar.	according to him, he supposedly can prove that his mission in the area was legitimate.
<13>	Kanina ay isinailalim na sa inquest proceeding sa Department of Justice si Marcelino kasama ang isang Chinese na kasamang nadakip nito.	earlier Marcelino was placed under inquest proceeding in the Department of Justice together with a Chinese he was with when he was apprehended.
<14>	Sila ay sinampahan ng kasong paglabag sa RA 9165 o paglabag sa Dangerous Drugs Act of 2002. -DCR	they were charged with violation of RA 9165 or violation of the Dangerous Drugs Act of 2002. -DCR
