query100	garlic,pepper:Lifestyle
query1007	vital[syn:important],operation[syn:function]:Government-And-Politics
query1021	world,crisis:Government-And-Politics
query103	"Communist rebel":Government-And-Politics
query1035	"snake design":Lifestyle
query1037	"most venomous":Lifestyle
query1047	"Christmas Eve":Lifestyle
query1050	bootlicker+:Government-And-Politics
query1052	"childrens' rights":Government-And-Politics
query1068	jeepney,passenger:Government-And-Politics
query1077	traffic+,Intramuros:Lifestyle
query1078	boycott:Government-And-Politics
query109	"drinking alcohol":Government-And-Politics
query1105	Kalibo,"sex crime"+:Government-And-Politics
query1106	Bacolod,"social media"+:Government-And-Politics
query1108	Vigan,agriculture+:Government-And-Politics
query1109	"victim's corpse":Government-And-Politics
query1112	Tuguegarao,EXAMPLE_OF(animal):Government-And-Politics
query1113	baptism,EXAMPLE_OF(vehicle):Lifestyle
query1114	Surigao,church+:Lifestyle
query1117	"black pepper",EXAMPLE_OF(animal):Lifestyle
query1119	Samar,fisherman:Government-And-Politics
query1122	"as cold as":Government-And-Politics
query1123	yellow[evf:color],parade+:Lifestyle
query1128	anomaly,bridge:Government-And-Politics
query113	"water buffalo":Lifestyle
query1130	shrimp,cooking+:Lifestyle
query114	hospital,Manila:Government-And-Politics
query1144	bible[evf:religion],story:Government-And-Politics
query1150	workmanship:Government-And-Politics
query1154	widow[syn:widower],earnings+:Lifestyle
query1155	Aklan,"natural disaster"+:Government-And-Politics
query1156	mermaid,"warning sign"+:Lifestyle
query1158	Angeles,prostitution+:Government-And-Politics
query1162	curtain:Lifestyle
query117	"August 29"[hyp:date]:Lifestyle
query1171	smoking,disease+:Lifestyle
query1196	watermelon:Lifestyle
query1205	ginger,"food preparation"+:Lifestyle
query1206	garlic,"food preparation"+:Lifestyle
query1208	Pampanga,food+:Lifestyle
query1213	hair[evf:head],clothes+:Lifestyle
query1217	Tabuk,irrigation+:Lifestyle
query123	tax,speech[syn:oration]:Government-And-Politics
query1237	Laoag,"severe heat":Government-And-Politics
query1240	Mandaluyong,"real estate"+:Government-And-Politics
query1241	terminology:Government-And-Politics
query1242	Naga,transportation+:Lifestyle
query1248	ridiculous,soul:Lifestyle
query1252	corn[hyp:cereal],planting+:Lifestyle
query1255	anchorage:Government-And-Politics
query1260	Lent+:Lifestyle
query1261	"puppet state":Government-And-Politics
query1263	"as fast as lightning":Government-And-Politics
query1267	"first day of class"+:Lifestyle
query1272	"clean air":Lifestyle
query1273	muddy,rain:Lifestyle
query1274	Tagum,murder+:Government-And-Politics
query1276	Butuan,challenge:Lifestyle
query1278	"El Nido",tourism+:Government-And-Politics
query1288	"responsible individual":Government-And-Politics
query1292	person+,extraordinary:Lifestyle
query1295	trusted,friend:Lifestyle
query1301	transfer,title[evf:property]:Government-And-Politics
query1302	prosecution+,examination[syn:inquiry]:Government-And-Politics
query1303	"social security",contribution:Government-And-Politics
query1311	deregularization,energy+:Government-And-Politics
query1312	deregularization,education+:Government-And-Politics
query1314	Cebu,"gun making"+:Lifestyle
query1315	Cebu,graduation+:Lifestyle
query1316	efficient:Government-And-Politics
query1318	Ilocano,gunfire+:Government-And-Politics
query1322	haircut,price+:Lifestyle
query1329	Tondo,celebration+:Lifestyle
query1330	cat,"leftover food":Lifestyle
query1344	Pagsanjan,food+:Lifestyle
query1345	"pencil with an eraser":Lifestyle
query1346	"cheapest tuition":Lifestyle
query1347	"ray of the sun":Lifestyle
query137	"Maoist insurgency":Government-And-Politics
query1371	"books for children":Government-And-Politics
query1373	Chinese,governor:Government-And-Politics
query1376	"full of charcoal":Lifestyle
query1379	"my piano teacher":Lifestyle
query1380	plastic,fork[hyp:utensil]:Lifestyle
query1386	<crabs>:Lifestyle
query1388	"stinky air":Lifestyle
query139	Ilocano,butterfly:Government-And-Politics
query1391	Paris,cave[syn:cavern]:Government-And-Politics
query1395	playful:Lifestyle
query1398	"sister Adela":Lifestyle
query1414	"their own nation":Government-And-Politics
query1416	fruit+[evf:plants],oval:Lifestyle
query1428	advertisement+,newspaper:Government-And-Politics
query1430	signature+,correspondent:Government-And-Politics
query1431	magazine+,essay:Lifestyle
query1440	lizard,ceiling:Lifestyle
query1451	Bayombong,agriculture+:Government-And-Politics
query1457	Pepsi,corruption+:Government-And-Politics
query1459	election+,integrity:Government-And-Politics
query1460	"peace talks"+,closure:Government-And-Politics
query1463	principle:Lifestyle
query1473	"pirated DVD":Government-And-Politics
query1476	soldier+,cowardly:Government-And-Politics
query1523	"travel to America":Government-And-Politics
query1567	Youtube:Lifestyle
query1574	Koronadal,construction+:Lifestyle
query1577	Davao,"100 new teachers":Government-And-Politics
query1579	"Spanish occupation"+:Government-And-Politics
query158	liver,disease+:Lifestyle
query1580	superstition:Lifestyle
query1584	tilapia:Lifestyle
query1591	roof:Lifestyle
query1594	onion,smuggling+:Government-And-Politics
query1603	scam,royalty+:Government-And-Politics
query1618	beer:Lifestyle
query1623	blanket,clothes:Lifestyle
query1636	"wheel chair":Lifestyle
query1661	situation[syn:circumstance],creator:Lifestyle
query168	storm,damage+:Lifestyle
query1682	mirror[syn:reflecting surface]:Lifestyle
query1686	"I don't understand you":Lifestyle
query1690	guard[syn:watchman],house:Lifestyle
query1692	agent[syn:middleman]:Lifestyle
query1715	"can you go now":Lifestyle
query172	summer:Lifestyle
query174	"I'm afraid",boycott:Government-And-Politics
query1742	announce,"three days":Lifestyle
