<1>	ASG WASAKIN, WAKASAN NA!	destroy the ASG, destroy them now!
<2>	SANA’Y tuluyan nang masawata ng Pamahalaang Duterte ang kilabot na Abu Sayyaf group (ASG) na namumugad sa island province ng Basilan.	I hope that the Duterte government will completely eradicate the notorious Abu Sayyaf group (ASG) dwelling in the island province of Basilan.
<3>	Mabuti at nakubkob na ng tropa ng Armed Forces of the Philippines ang lahat ng pinagkukutahan ng ASG sa Tipo-Tipo, Basilan.	it's good that the Armed Forces of the Philippines already besieged all of the dwelling places of the ASG in Tipo-Tipo, Basilan.
<4>	Sobra na’t dapat nang masawata ang panliligalig na idinudulot ng mga bandidong iyan.	the harassment caused by those terrorists is too much and should be ended.
<5>	Marami-rami na ring sundalo at pulis ang nagbuwis ng buhay sa pagtugis sa ASG.	a lot of soldiers and police officers have already given their lives in pursuit of the ASG.
<6>	Marami na ring sibilyan ang napahamak at sobrang nahirapan sa labanan sa mahabang panahon.	a lot of civilians are also put in danger and suffered too much in this long-standing fight.
<7>	Ginagamit lamang ng ASG ang mga inosenteng residente na pananggalang sa pagtugis sa kanila ng mga awtoridad.	the ASG are only using the innocent residents as shields against the pursuit of authorities.
<8>	Panahon na para tuluyang wakasan na ang kriminalidad ng grupong ‘yan tulad ng kidnapping for ransom, extortion.	it is time to completely eradicate the criminality of that group like kidnapping for ransom and extortion.
<9>	Nilalason din ng ASG sa isipan ng mga kabataang mahihirap sa Muslim Mindanao para sumama sa terorismo.	the ASG are also poisoning the minds of the impoverished youth of Muslim Mindanao to join terrorism.
<10>	Hindi gawain ng matino at mabuting Muslim ang ginagawa ng ASG.	the acts of the ASG are not doings of a sane and good Muslim.
<11>	Pinaniniwalaang mahigit dalawang dosena pa ang bihag ng ASG, kabilang ang ilang dayuhan.	it is believed that the ASG is still holding more than two dozens of captives, including some foreigners.
<12>	Isa pa iyang panliligalig at terorismo na idinudulot nila ang magiging balakid sa progreso ng Muslim Mindanao kung magpapatuloy pa ang mga ito na gagala nang gagala.	the terrorism and harassment they cause will be the hindrance of the progress of Muslim Mindanao if they continue to roam around.
<13>	Sobrang kahihiyan na rin sa ibayong dagat at perwisyo ang idinulot ng ASG.	the nuisance caused by the ASG has already caused too much embarrassment abroad.
<14>	Kaya dapat lang na wasakin at wakasan na ang mga demonyong ‘yan!!!	so it is just right that these demons should be eradicated!!!
