<1>	Sabado, Agosto 20, 2016	Saturday, August 20, 2016
<2>	ANG MAKIPOT NA PINTUAN: Reflection for 21st Sunday in Ordinary Time Year C - August 21, 2016 - JUBILEE YEAR OF MERCY	the narrow door: reflection for 21st Sunday in ordinary time year c - August 21, 2016 - jubilee year of mercy
<3>	Sa impyerno ay may bagong salta, at pinapipili siya ng pinto ng kaparusahan.	in hell there's new word, and is asked to choose a door to punishment.
<4>	Unang pinto: binuksan ng katiwala at nakita niyang ang mga tao, nakabitin ng patiwarik habang inilulubog sa dagat ng apoy.	first door: opened by a caretaker and he saw the people, hanging upside down while being immersed in the sea of fire.
<5>	Bagong salta: "ayaw ko jan… ayaw ko jan!"	new word: "I do not like it there I do not like it there!"
<6>	Ikalawang pinto: binuksan ng katiwala at nakita niyang ang mga tao ay nakatali habang hinahampas ng nagbabagang latigo!	second door: opened by a caretaker and he saw the people are tied while lashed with a red hot whip
<7>	Bagong salta: "ayaw ko jan ... ayawko jan!"	new word: "I do not like it there I do not like it there!"
<8>	Ikatlong pinto: nakarinig ang bagong salta ng mga nagkakantahan “wag kang aalon… wag kang aalon…. wag kang aalon”…	third door: the newcomer heard singing "do not form waves do not form waves do not form waves"
<9>	Bagong salta: "uuuuyy…gusto ko dito…mukhang masaya nagkakantahan pa sila!"	new word: "hmm I like it here looks happy they are even singing!"
<10>	Ikatlong pinto-katiwala: "sigurado ka ba sa desisyon mo?"	third door caretaker: "are you sure of your decision?"
<11>	Bagong salta: "oo naman… sigurado! Alam ko na nga yung kinakanta nila eh…wag kang aalon…wag kang aalon…"	new word: "of course sure! I even know what they are singing do not form waves do not form waves"
<12>	Ikatlong pinto- katiwala: "okay sabi mo eh ….	third door caretaker: okay you said so
<13>	binuksan ang pinto… Hinimatay ang bagong salta.	opened the door the new word fainted
<14>	Kaya pala nagkakantahan ang mga tao ng …"wag kang aalon…wag kang aalon…" dahil ang mga tao ay nakalubog sa tae hanggang leeg! hehehe... Sabi nga nila, ang kabilang-buhay daw ay punong-puno ng surpresa!	the reason people are singing "do not form waves do not form waves" because the people are submerged in feces up to their neck! hehehe they said, the after-life is filled with surprises!
<15>	Sa katunayan ay dalawa lang naman ang ating pupuntahan sa buhay sa kabila: langit o impiyerno.	in actuality we have only two destinations in the after-life: heaven or hell.
<16>	Ang huli ay pintuang madaling pasukin, walang kahirap-hirap, masaya, may kantahan pa nga!	the last door is easy to enter, effortless, happy, with singing even!
<17>	Ang una ay mahirap pasukin.	the first is hard to enter.
<18>	Sa katunayan ay kakaunti ang dumadaan dito sapagkat makipot, mahirap at maraming sakripisyo ang dapat gawin.	in actuality very few pass this way because it is narrow, hard and many sacrifices are needed to be done.
<19>	Ngunit ang sabi nga ng Panginoon, ay isa lang naman ang daan papasok sa langit... ang makipot na pintuan!	but the lord said, there is only one way to enter heaven the narrow door!
<20>	Kaya nga kung ang hanap natin sa pagiging Kristiyano ay "good time" at "pa-easy-easy" lang sa ating pagiging Kristiyano ay nagkakamali tayo... Hindi puwedeng maligamgam tayo sa harapan ng Diyos.	that is why if our search in being Christian is only "good time" and "easy-going" in our being Christian then we are mistaken we cannot be lukewarm in front of god.
<21>	Sala sa init... sala sa lamig!	damned if you do damned if you do not!
<22>	Ang pagiging Kristiyano ay isa lang ang hinihingi... ang maging katulad ni Kristo!	being Christian asks only for one thing to be like Christ
<23>	Ang makipot na pintuan ay dinaraanan natin araw-araw.	we pass by the narrow door everyday.
<24>	Laging bukas... nag-aanyaya ngunit dahil nga sa makipot ay marami sa atin ang ayaw daanan.	always open inviting but because it is narrow many of us do not want to pass
<25>	Mahirap magpatawad.	it is hard to forgive.
<26>	Mahirap maging tapat sa pamilya.	it is hard to be honest to family.
<27>	Mahirap umunawa.	hard to understand.
<28>	Mahirap magbigay.	hard to be giving
<29>	Mahirap magpakatao.	hard to act with dignity.
<30>	Mas madali ang sumuway sa utos ng Diyos.	it is easier to disobey the command of god.
